Price_x,Open_x,High_x,Low_x,Vol._x,Change %_x,dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Price_y,Open_y,High_y,Low_y,Vol._y,Change %_y,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv,Sell_Price
29793.8,30835.4,31040.8,29310.2,97460.0,-3.38,,,,,,,,,,,,,,,,,,,
32131.4,29794.7,32794.6,29519.3,118340.0,7.85,2021-07-21,30.164901614189148,127.0,6.36013936,704.0,102.0,32131.4,29794.7,32794.6,29519.3,118340.0,7.85,33449.90000000001,36618.61,39150.38,76320.0,98214.0,91955.5,
32298.9,32131.7,32585.4,31729.4,64870.00000000001,0.52,,,,,,,,,,,,,,,,,,,
33603.3,32297.9,33605.6,32041.1,66150.0,4.04,,,,,,,,,,,,,,,,,,,
33824.8,33600.5,33955.0,33412.9,67140.0,0.66,,,,,,,,,,,,,,,,,,,
35391.1,34392.5,35391.1,33881.3,65099.99999999999,4.63,,,,,,,,,,,,,,,,,,,35391.1
37276.6,35392.3,40522.9,35236.7,177630.0,5.33,,,,,,,,,,,,,,,,,,,
39452.0,37294.3,39455.9,36427.4,100240.0,5.84,,,,,,,,,,,,,,,,,,,
40003.2,39450.4,40862.2,38883.8,148920.0,1.4,,,,,,,,,,,,,,,,,,,
40001.4,40009.0,40630.7,39340.8,75300.0,-0.0,,,,,,,,,,,,,,,,,,,
42203.4,40001.1,42264.4,38358.4,98450.0,5.5,,,,,,,,,,,,,,,,,,,
41553.7,42201.4,42285.3,41066.4,44650.0,-1.54,,,,,,,,,,,,,,,,,,,
39878.3,41510.0,42565.0,39556.5,80330.0,-4.03,,,,,,,,,,,,,,,,,,,
39168.4,39869.8,40449.0,38692.5,74810.0,-1.78,,,,,,,,,,,,,,,,,,,
38130.3,39167.4,39766.6,37688.2,260.0,-2.65,,,,,,,,,,,,,,,,,,,
39736.9,38188.4,39956.5,37556.0,79220.0,4.21,,,,,,,,,,,,,,,,,,,
40867.2,39734.4,41366.3,37365.4,130600.0,2.84,,,,,,,,,,,,,,,,,,,
42795.4,40868.4,43253.4,39905.4,111930.0,4.72,,,,,,,,,,,,,,,,,,,
44614.2,42784.7,44697.3,42611.0,112840.0,4.25,,,,,,,,,,,,,,,,,,,
43792.8,44584.9,45284.1,43314.4,105250.0,-1.84,2021-08-08,39.25194066762924,153.0,50.54852075000002,474.0,99.0,43792.8,44584.9,45284.1,43314.4,105250.0,-1.84,45127.72000000001,45820.84,46964.36,91876.0,74360.0,67201.0,
46284.3,43794.9,46460.7,42824.1,117080.0,5.69,2021-08-09,57.6137278676033,155.0,25.900763480000023,183.0,40.0,46284.3,43794.9,46460.7,42824.1,117080.0,5.69,45930.98,45913.94,47219.575,85880.0,66071.0,63775.0,
45593.8,46281.8,46663.4,44681.2,80550.0,-1.49,2021-08-10,71.60742354393005,198.0,19.15902360999978,527.0,138.0,45593.8,46281.8,46663.4,44681.2,80550.0,-1.49,46090.42,45961.1,47344.23,75322.0,62155.0,60302.0,
45564.3,45593.2,46736.5,45367.9,75430.0,-0.06,,,,,,,,,,,,,,,,,,,
44403.4,45562.3,46213.8,43814.7,81070.0,-2.55,,,,,,,,,,,,,,,,,,,
47809.1,44404.0,47836.0,44242.4,75270.0,7.67,,,,,,,,,,,,,,,,,,,
47081.5,47809.6,48090.9,46117.2,64290.00000000001,-1.52,,,,,,,,,,,,,,,,,,,
46991.3,47082.6,47344.1,45564.1,58110.0,-0.19,,,,,,,,,,,,,,,,,,,
45996.3,46991.6,48002.4,45672.1,2410.0,-2.12,,,,,,,,,,,,,,,,,,,
44691.6,45907.5,47140.6,44441.3,84140.0,-2.84,,,,,,,,,,,,,,,,,,,
44723.8,44691.1,46004.9,44230.0,22360.0,0.07,,,,,,,,,,,,,,,,,,,
46755.9,44725.9,47012.3,43986.7,77920.0,4.54,,,,,,,,,,,,,,,,,,,
49324.0,46756.7,49343.3,46646.8,83190.0,5.49,,,,,,,,,,,,,,,,,,,49324.0
48875.8,49330.0,49719.1,48293.5,18200.0,-0.91,,,,,,,,,,,,,,,,,,,
49254.5,48870.4,49480.3,48151.0,49320.0,0.77,,,,,,,,,,,,,,,,,,,
49539.7,49255.4,50498.8,49038.6,75370.0,0.58,,,,,,,,,,,,,,,,,,,
47714.7,49532.5,49847.4,47623.6,74260.0,-3.68,,,,,,,,,,,,,,,,,,,
48994.5,47707.4,49230.2,47163.3,63540.0,2.68,,,,,,,,,,,,,,,,,,,
46831.6,48994.4,49347.8,46360.4,73790.0,-4.41,,,,,,,,,,,,,,,,,,,
49064.3,46830.2,49142.0,46371.5,62470.0,4.77,,,,,,,,,,,,,,,,,,,
48897.1,49062.8,49289.4,48428.5,36730.0,-0.34,,,,,,,,,,,,,,,,,,,
48777.4,48899.7,49621.7,47870.1,47620.0,-0.24,,,,,,,,,,,,,,,,,,,
46992.7,48777.1,48886.0,46876.9,61680.0,-3.66,,,,,,,,,,,,,,,,,,,
47130.4,46989.1,48217.0,46709.3,71480.0,0.29,,,,,,,,,,,,,,,,,,,
48819.4,47129.2,49121.0,46533.1,74380.0,3.58,,,,,,,,,,,,,,,,,,,
49274.3,48817.8,50355.3,48612.9,80210.0,0.93,,,,,,,,,,,,,,,,,,,
49999.0,49269.5,51008.8,48377.3,88080.0,1.47,,,,,,,,,,,,,,,,,,,
49918.4,49999.3,50534.6,49461.4,48140.0,-0.16,,,,,,,,,,,,,,,,,,,
51768.6,49918.7,51878.2,49492.4,57300.0,3.71,,,,,,,,,,,,,,,,,,,51768.6
52672.1,51769.4,52726.2,51002.8,69460.0,1.75,,,,,,,,,,,,,,,,,,,
46779.6,52674.2,52885.3,43072.4,187560.0,-11.19,,,,,,,,,,,,,,,,,,,
46061.4,46774.1,47316.9,44493.7,100480.0,-1.54,,,,,,,,,,,,,,,,,,,
46385.6,46057.6,47305.7,45609.0,73630.0,0.7,,,,,,,,,,,,,,,,,,,
44842.8,46385.9,47021.6,44283.6,75620.0,-3.33,,,,,,,,,,,,,,,,,,,
45161.9,44844.9,45975.6,44766.6,41580.0,0.71,,,,,,,,,,,,,,,,,,,
46062.3,45162.6,46386.4,44755.2,44520.0,1.99,,,,,,,,,,,,,,,,,,,
44949.5,46060.8,46807.7,43463.2,96150.0,-2.42,,,,,,,,,,,,,,,,,,,
47077.5,44950.2,47247.6,44718.7,65330.0,4.73,,,,,,,,,,,,,,,,,,,
48130.6,47070.8,48436.5,46743.9,63400.0,2.24,,,,,,,,,,,,,,,,,,,
47748.0,48132.3,48480.6,47040.3,60910.0,-0.8,,,,,,,,,,,,,,,,,,,
47282.8,47748.2,48155.9,46788.8,50160.0,-0.97,,,,,,,,,,,,,,,,,,,
48306.7,47283.9,48761.0,47070.5,43640.0,2.17,,,,,,,,,,,,,,,,,,,
47238.7,48299.9,48341.9,46866.6,41980.0,-2.21,,,,,,,,,,,,,,,,,,,
42870.6,47240.8,47323.9,42547.1,77960.0,-9.25,,,,,,,,,,,,,,,,,,,
40651.3,43012.3,43619.3,39646.8,142550.0,-5.18,,,,,,,,,,,,,,,,,,,
43551.6,40660.8,43976.7,40585.7,93980.0,7.13,,,,,,,,,,,,,,,,,,,
44869.2,43550.7,44949.8,43090.1,74540.0,3.03,,,,,,,,,,,,,,,,,,,
42819.9,44867.4,45112.0,40908.5,128880.0,-4.57,,,,,,,,,,,,,,,,,,,
42686.8,42818.7,42959.3,41714.5,46350.0,-0.31,,,,,,,,,,,,,,,,,,,
43203.4,42685.8,43907.3,40786.6,69910.0,1.21,,,,,,,,,,,,,,,,,,,
42172.6,43200.9,44293.2,42143.9,54120.0,-2.39,,,,,,,,,,,,,,,,,,,
41022.3,42169.9,42758.8,40906.4,60010.0,-2.73,,,,,,,,,,,,,,,,,,,
