dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Date,Price,Open,High,Low,Vol.,Change %,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv
2022-02-03,70.38661342859268,180.0,7.736136730000754,701.0,109.0,2022-02-03,37287.8,36890.2,37304.3,36297.3,50350.0,1.08,41298.719999999994,42303.53,41516.94,59992.0,64128.0,60218.0
2022-02-04,200.5416521430016,268.0,19.00623758,427.0,96.0,2022-02-04,41567.6,37287.8,41689.0,37041.1,95490.0,11.48,42648.8,42780.86,41513.78,68498.0,61681.0,60942.5
2022-02-05,242.7138607501984,602.0,0.0132,805.0,143.0,2022-02-05,41412.1,41566.5,41899.8,40963.3,46320.0,-0.37,43213.06,42879.13,41352.36,59584.0,57492.0,65191.5
2022-02-06,134.2045739889145,215.0,12.7831236,312.0,50.0,2022-02-06,42392.2,41411.9,42614.8,41176.3,31200.0,2.37,43634.840000000004,43192.36,41242.235,68258.0,58494.0,67064.5
2022-02-07,201.0639466047287,202.0,0.0,385.0,81.0,2022-02-07,43833.9,42385.2,44468.3,41695.4,76600.0,3.4,43634.08,43341.5,41078.4,76008.0,59514.0,67582.0
2022-02-08,146.84215945005417,248.0,24.42388919999999,695.0,186.0,2022-02-08,44038.2,43833.9,45399.8,42705.0,92880.0,0.47,43308.340000000004,43013.39,40771.16,68264.0,59117.0,67059.0
2022-02-09,194.62926054000852,219.0,7.665439210003151,294.0,69.0,2022-02-09,44388.9,44038.2,44800.4,43163.0,50920.0,0.8,42912.92,42609.58,40728.659999999996,54864.0,56325.0,67818.5
2022-02-10,397.4997147917748,187.0,12.64299645,760.0,190.0,2022-02-10,43521.0,44388.9,45755.2,43242.5,89690.0,-1.96,42545.2,42179.72,40730.23,55400.0,53811.0,69806.0
2022-02-11,176.14105063676834,269.0,0.0,817.0,195.0,2022-02-11,42388.4,43519.3,43915.1,42023.4,69950.0,-2.6,42749.88,41663.12,40749.82,48730.0,49634.0,69362.5
2022-02-12,76.6301599740982,199.0,19.13686969,378.0,71.0,2022-02-12,42205.2,42388.4,43006.4,41776.8,37880.0,-0.43,43048.92,41126.05,40753.55,43020.0,51821.0,69570.5
2022-02-13,98.81885123252869,204.0,12.66310304,270.0,41.0,2022-02-13,42061.1,42205.5,42725.1,41880.1,25880.0,-0.34,42718.44,40730.35,40600.424999999996,49970.0,56308.0,160567676.5
2022-02-14,212.97843128442764,401.0,18.82960077,261.0,55.0,2022-02-14,42550.3,42061.1,42799.7,41591.3,53600.0,1.16,42306.240000000005,40246.7,40467.159999999996,57786.0,60204.0,235566382.5
2022-02-15,165.75103789567947,285.0,12.57702938,450.0,98.0,2022-02-15,44544.4,42550.3,44722.6,42460.1,56340.0,4.69,41814.240000000005,39825.59,40259.8,52222.0,72891.0,332063702.5
2022-02-16,217.27127122879028,161.0,13.09196021,686.0,166.0,2022-02-16,43883.6,44540.9,44552.9,43377.6,41400.0,-1.48,40576.36,39292.11,39933.82,50538.0,75635.0,483060885.5
2022-02-17,74.85843849182129,170.0,36.97805895,492.0,155.0,2022-02-17,40552.8,43885.5,44167.1,40103.8,72630.0,-7.59,39203.18,38815.3,39676.880000000005,60622.0,75650.0,616558815.5
2022-02-18,125.50790935754776,268.0,6.4454849699995975,331.0,155.0,2022-02-18,40000.1,40532.5,40935.5,39505.0,64959.99999999999,-1.36,38742.259999999995,38528.93,39745.69,62646.0,75001.0,796555184.0
2022-02-19,83.13800758123398,162.0,3.00964336,284.0,85.0,2022-02-19,40090.3,40000.1,40434.3,39666.6,25780.0,0.23,38187.16,38847.740000000005,39716.5,62622.0,79312.0,977551936.0
2022-02-20,58.8196594119072,176.0,13.501153929999475,317.0,63.0,2022-02-20,38355.0,40089.6,40120.3,38042.2,47920.0,-4.33,37836.939999999995,39280.74,39648.495,93560.0,85801.0,1117050647.0
2022-02-21,123.52680033445358,242.0,8.91943447,410.0,118.0,2022-02-21,37017.7,38355.0,39444.1,36868.9,91820.0,-3.49,38007.86,39836.52,39671.46,100732.0,89091.0,1172548251.0
2022-02-22,94.9163008928299,353.0,18.94400986000103,710.0,170.0,2022-02-22,38248.2,37018.3,38414.9,36399.6,82750.0,3.32,38427.42,40381.05,39710.195,90678.0,87320.0,1250043660.0
2022-02-23,103.30923110246658,184.0,38.663592859999966,396.0,78.0,2022-02-23,37224.6,38248.2,39194.5,37099.5,64840.0,-2.68,38315.59999999999,40470.5,39781.34,87356.0,321079045.0,1366539522.5
2022-02-24,96.50224715471268,193.0,18.89369825,377.0,86.0,2022-02-24,38339.2,37250.2,39351.6,34357.4,180470.0,2.99,39508.31999999999,40687.619999999995,39884.395000000004,96002.0,471072561.0,1479036280.5
2022-02-25,68.25595676898956,196.0,18.87029314,630.0,191.0,2022-02-25,39209.6,38339.2,39683.7,38042.6,83780.0,2.27,40724.53999999999,40694.01,40023.37,78042.0,664054514.0,1702527257.0
2022-02-26,115.0079472064972,199.0,18.95813516,332.0,92.0,2022-02-26,39115.5,39221.6,40094.5,38639.1,41550.0,-0.24,41665.18,40575.53,40108.630000000005,77450.0,966046136.0,1797523068.0
2022-02-27,94.3670021891594,184.0,0.0,276.0,68.0,2022-02-27,37689.1,39116.6,39838.5,37062.3,66140.0,-3.65,42334.68,40538.46,40241.245,83962.0,1233041981.0,1913020990.5
2022-02-28,60.23450529575348,145.0,37.37231747000037,323.0,83.0,2022-02-28,43188.2,37707.2,43977.8,37458.9,108070.0,14.59,42625.4,40962.45,40468.44,642070734.0,1593035367.0,1924247183.5
2022-03-01,123.90827643871307,327.0,25.14518794,711.0,187.0,2022-03-01,44420.3,43187.2,44900.5,42876.6,90670.0,2.85,41866.92,40585.259999999995,40372.83,942049120.0,1955024560.0,1939664280.0
2022-03-02,120.36256170272829,209.0,0.0,287.0,97.0,2022-03-02,43912.8,44420.3,45294.2,43361.3,80820.0,-1.14,40663.48,40016.25,40202.915,1328030986.0,2234015493.0,1959990746.5
2022-03-03,57.58237147331238,120.0,12.685246750000122,368.0,108.0,2022-03-03,42463.0,43912.8,44077.2,41840.8,74110.0,-3.3,39485.88,39506.4,40125.925,1932014822.0,2345007411.0,1986839705.5
2022-03-04,107.52015852928162,128.0,25.42610136,749.0,118.0,2022-03-04,39142.7,42463.0,42848.7,38594.9,3210000000.0,-7.82,38742.240000000005,39039.340000000004,40148.375,2466000000.0,2500000000.0,2008534000.0
2022-03-05,77.85589295625687,227.0,12.61287312,560.0,159.0,2022-03-05,39395.8,39142.8,39600.2,38626.1,1500000000.0,0.65,39299.5,39092.18,40391.89,2544000000.0,2412000000.0,1872617000.0
2022-03-06,67.90936326980591,148.0,12.67085331,260.0,40.0,2022-03-06,38403.1,39396.3,39668.1,38115.0,1930000000.0,-2.52,39303.6,39081.17,40638.65,2968000000.0,2487000000.0,1822321500.0
2022-03-07,140.94528418779373,213.0,13.205644350000002,400.0,99.0,2022-03-07,38024.8,38420.6,39532.0,37182.1,3020000000.0,-0.99,39369.020000000004,39352.729999999996,40945.895000000004,3140000000.0,2741000000.0,1735636500.0
2022-03-08,124.35651344060898,224.0,0.16082,398.0,109.0,2022-03-08,38744.8,38020.6,39351.5,37886.6,2670000000.0,1.89,39526.92,39641.729999999996,41387.604999999996,2758000000.0,2629000000.0,1604076000.0
2022-03-09,334.45834416151047,191.0,6.250635720000353,445.0,137.0,2022-03-09,41929.0,38731.5,42538.5,38663.3,3600000000.0,8.22,39336.44,39944.03,41805.615,2534000000.0,2593000000.0,1501089500.0
